numero_precatorio;numero_processo;beneficiario;cpf_cnpj_beneficiario;valor_original;valor_atualizado;data_requisicao;data_atualizacao;tipo;status;entidade_devedora;id_entidade;regime;ordem_cronologica;observacoes;timestamp_extracao
2020.01082-2;;Não informado;;9560.11;18881.12;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01092-0;;Não informado;;9560.11;18881.12;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01089-0;;Não informado;;44613.85;88111.88;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01081-4;;Não informado;;69544.06;131081.90;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01231-0;;Não informado;;37863.73;76356.24;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01211-6;;Não informado;;117070.93;236134.41;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01257-4;;Não informado;;106063.38;189726.87;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01242-6;;Não informado;;33005.62;56967.53;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01223-0;;Não informado;;241436.04;615462.43;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01263-9;;Não informado;;241436.04;615462.43;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01253-1;;Não informado;;10390.67;29500.08;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01250-7;;Não informado;;27501.49;54905.33;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01275-2;;Não informado;;127473.33;328158.83;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01363-5;;Não informado;;79877.13;160902.05;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01365-1;;Não informado;;33402.41;67284.79;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01372-4;;Não informado;;33402.41;67284.79;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01366-0;;Não informado;;33402.41;67284.79;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01414-3;;Não informado;;33402.41;67284.79;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01369-4;;Não informado;;33402.41;67284.79;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
